Q_ID,Avg_Distance
5239,2.0
913,4.0
205,3.0
2254,3.0
2007,2.6666666666666665
1829,2.0
1144,4.0
840,3.3333333333333335
4468,0.0
713,4.0
4838,4.0
3457,3.0
261,3.3333333333333335
245,3.5
768,2.0
1792,2.0
1906,2.0
4140,4.5
4932,2.0
218,2.0
4598,3.3333333333333335
1629,2.0
5324,3.3333333333333335
4465,3.25
3437,4.0
1806,2.0
3680,0.0
4828,2.5
2279,2.7
54,2.3333333333333335
1308,5.0
3463,4.0
2788,4.0
2277,2.5
1274,3.1
1764,2.0
2758,4.0
838,2.5
760,2.0
3113,3.5
793,2.0
2941,3.0
2818,2.0
4946,2.5
2167,4.0
356,0.0
3764,3.0
4393,4.0
1023,3.5
3101,3.3333333333333335
646,4.0
4523,2.0
2402,2.6666666666666665
5150,0.0
5067,4.0
2963,2.0
4730,2.0
1576,2.0
570,5.75
376,2.0
5418,4.0
1867,2.0
2371,2.0
654,2.3333333333333335
1908,2.0
828,3.0
3114,4.0
2278,2.0
3715,4.0
5208,3.5
2989,2.6666666666666665
1333,3.3333333333333335
3033,2.0
2911,2.0
1717,2.0
2188,8.2
5309,3.25
585,3.0
4991,4.0
5202,5.25
1402,3.0
4376,2.5
2006,2.0
1339,2.0
3787,4.0
3109,4.0
2212,5.0
5243,2.0
4563,3.2
1800,2.0
2657,2.0
459,1.0
1877,2.0
263,4.0
2585,7.25
3287,0.0
2194,4.0
543,2.0
1729,2.0
4647,2.0
2578,3.3333333333333335
1742,2.0
5370,3.0
4090,3.0
3242,2.0
5267,4.0
3759,2.0
1171,2.0
2170,2.6666666666666665
2021,2.5
4599,4.0
4416,3.5
2153,2.0
4789,2.6666666666666665
3510,2.6666666666666665
4781,3.5
3272,2.0
2966,2.0
1797,2.0
1134,4.0
4175,4.0
4043,3.0
745,2.0
386,3.0
899,4.5
1253,1.5
5141,4.0
1311,3.0
3459,4.0
4886,4.0
521,2.3333333333333335
3153,0.0
3127,2.0
4882,3.6
3835,3.2
4335,0.0
2060,2.6666666666666665
4533,2.0
95,2.8
939,2.0
4399,3.0
2186,4.0
5251,2.55
2787,4.0
914,4.0
2405,2.0
3562,2.0
1296,3.0
3717,0.0
27,3.0
2158,2.0
4101,0
1464,3.0
4159,3.3333333333333335
872,3.0
5123,3.6
2445,6.25
5235,2.6666666666666665
4989,4.0
1630,4.0
3064,0.0
1324,5.5
4419,4.0
4345,2.6666666666666665
5,4.0
4907,3.0
2656,4.0
4003,2.0
160,2.0
917,2.5
2974,4.0
2520,2.0
1962,2.6666666666666665
475,2.6666666666666665
1974,2.0
4648,2.5
702,3.0
3982,3.0
567,2.3333333333333335
4364,3.3333333333333335
1031,4.5
1052,3.0
5405,2.5
3894,2.0
4504,3.0
1353,5.0
2172,2.0
4323,3.0
4970,3.25
3467,4.0
1736,3.3333333333333335
4418,2.0
1648,3.0
3269,0.0
3060,0.0
3589,4.333333333333333
4240,4.0
3699,2.6666666666666665
992,3.3333333333333335
2031,1.5
1841,2.0
525,3.0
2770,0.0
173,2.0
4820,3.3333333333333335
4538,3.0
1886,1.6666666666666667
4821,4.0
1805,2.0
59,1.75
582,2.0
5170,3.3333333333333335
483,2.5
1876,2.0
258,2.0
2707,0
581,3.5
4212,0.0
1950,2.0
2282,0.0
3977,4.0
1756,2.0
1084,2.0
4678,4.0
4721,3.0
3873,4.0
1991,2.0
3875,5.333333333333333
3335,2.0
1560,3.5
773,2.5
795,1.0
5399,2.0
3532,3.3333333333333335
2903,3.0
3470,4.0
3368,3.0
3826,3.0
444,4.0
5354,3.0
5294,2.6666666666666665
807,2.0
497,3.75
3299,3.0
2780,2.6666666666666665
896,2.0
2037,2.0
1570,2.0
1559,4.0
4394,4.0
3676,2.0
1149,3.0
1504,3.0
3790,2.0
2047,2.0
618,3.0
3631,2.0
4509,4.0
803,0.0
415,5.0
5343,2.733333333333333
4429,4.0
121,2.25
765,4.0
1937,4.0
1363,3.3333333333333335
3330,2.6666666666666665
3979,2.0
3944,4.0
1752,4.0
3286,3.3333333333333335
481,3.3333333333333335
1349,4.0
3105,2.0
18,1.0
3199,3.0
2173,2.6666666666666665
3728,3.5
2337,0
3466,0
4553,4.0
5423,2.0
3987,2.0
1269,3.0
1556,3.0
2431,2.5
1784,0.0
480,2.0
4745,4.0
4442,2.0
500,3.5
2570,3.3333333333333335
469,2.0
411,2.0
4786,4.0
3906,4.0
4120,2.0
4351,3.0
1290,2.0
466,4.0
4161,2.0
657,4.0
1523,2.0
562,3.75
4875,2.6666666666666665
557,0.0
1927,3.0
3308,2.0
983,4.0
4667,4.0
2017,2.0
4743,2.0
4871,3.0
326,4.0
5074,4.0
672,2.0
