Q_ID,Avg_Distance_All,Avg_Distance_Path,Avg_Distance_Nei
849,42,16,30
1101,40,16,26
946,53,11,49
877,38,12,30
2232,33,5,31
2309,38,3,36
4955,51,13,39
1726,49,10,39
2809,52,9,43
1668,51,9,42
5196,49,8,41
2163,54,18,37
4141,47,11,38
2058,54,11,44
417,46,6,41
757,52,14,38
5197,52,15,37
2267,56,15,42
362,55,14,42
30,50,10,44
2733,51,10,42
1072,32,3,32
5220,57,12,46
2146,59,17,44
3620,51,10,42
4520,50,7,44
3504,44,3,41
4595,37,9,30
80,49,17,33
617,50,11,39
1222,40,6,37
4470,55,12,46
296,41,7,37
3025,43,12,36
4772,53,12,44
4527,49,14,40
1214,53,13,40
3521,57,14,44
1045,42,4,38
343,44,9,36
2526,49,6,44
2988,41,3,39
327,46,12,34
2932,51,13,40
1721,48,7,42
2045,43,3,40
843,31,3,29
2898,57,14,44
4587,50,10,41
1267,33,6,30
1940,44,4,40
1332,36,11,32
1451,49,9,44
3378,50,9,42
204,44,7,38
1470,60,14,53
2722,45,13,33
3373,38,9,34
2033,48,9,40
1305,36,9,35
886,51,10,47
3134,45,9,37
318,43,6,39
3856,51,8,44
1823,33,6,29
1635,45,12,38
3771,45,13,33
2865,50,11,41
2501,36,0,36
1865,45,3,42
1827,53,12,42
194,63,22,42
5407,45,10,38
1583,38,3,36
3265,45,3,42
2690,55,13,42
2283,35,5,32
569,46,8,39
2287,35,0,35
2877,47,10,41
5256,50,9,44
4174,50,16,40
3275,59,13,52
2713,44,13,31
227,50,13,44
945,55,10,46
2140,46,10,42
1463,50,5,49
4757,17,5,12
2175,45,4,42
314,35,4,31
889,43,3,42
4888,54,15,39
3560,49,12,40
2832,46,5,43
3575,52,16,38
4967,52,10,44
4190,51,10,41
948,51,4,51
3156,45,10,36
4724,37,6,31
1558,35,3,33
2087,40,7,36
364,46,10,40
3573,52,10,42
14,57,18,44
4260,47,18,31
4411,42,4,40
1615,54,15,41
2984,39,9,36
3534,48,17,33
